"","Country","Date","Cum_conf_cases","Cum_susp_cases","Cum_conf_death"
"1231","Liberia","2015-06-19",3151,5636,NA
"1232","Sierra Leone","2015-06-19",8654,4071,3560
"1233","United Kingdom","2015-06-19",1,0,NA
"1234","Mali","2015-06-19",7,0,NA
"1235","Nigeria","2015-06-19",19,0,7
"1236","Senegal","2015-06-19",1,0,0
"1237","Spain","2015-06-19",1,0,0
"1238","United States of America","2015-06-19",4,0,1
"1239","Italy","2015-06-22",1,0,NA
"1240","Guinea","2015-06-22",3254,16,2028
"1241","Liberia","2015-06-22",3151,5636,NA
"1242","Sierra Leone","2015-06-22",8657,4107,3562
"1243","United Kingdom","2015-06-22",1,0,NA
"1244","Mali","2015-06-22",7,0,NA
"1245","Nigeria","2015-06-22",19,0,7
"1246","Senegal","2015-06-22",1,0,0
"1247","Spain","2015-06-22",1,0,0
"1248","United States of America","2015-06-22",4,0,1
"1249","Guinea","2015-06-23",3257,18,2030
"1250","Liberia","2015-06-23",3151,5636,NA
"1251","Sierra Leone","2015-06-23",8657,4115,3562
"1252","Italy","2015-06-23",1,0,NA
"1253","United Kingdom","2015-06-23",1,0,NA
"1254","Mali","2015-06-23",7,0,NA
"1255","Nigeria","2015-06-23",19,0,7
"1256","Senegal","2015-06-23",1,0,0
"1257","Spain","2015-06-23",1,0,0
"1258","United States of America","2015-06-23",4,0,1
"1259","Guinea","2015-06-24",3257,18,2030
"1260","Liberia","2015-06-24",3151,5636,NA
"1261","Sierra Leone","2015-06-24",8657,4115,3562
"1262","Italy","2015-06-24",1,0,NA
"1263","United Kingdom","2015-06-24",1,0,NA
"1264","Mali","2015-06-24",7,0,NA
"1265","Nigeria","2015-06-24",19,0,7
"1266","Senegal","2015-06-24",1,0,0
"1267","Spain","2015-06-24",1,0,0
"1268","United States of America","2015-06-24",4,0,1
"1269","Guinea","2015-06-25",3264,11,2037
"1270","Liberia","2015-06-25",3151,5636,NA
"1271","Sierra Leone","2015-06-25",8660,4136,3565
"1272","Italy","2015-06-25",1,0,NA
"1273","United Kingdom","2015-06-25",1,0,NA
"1274","Mali","2015-06-25",7,0,NA
"1275","Nigeria","2015-06-25",19,0,7
"1276","Senegal","2015-06-25",1,0,0
"1277","Spain","2015-06-25",1,0,0
"1278","United States of America","2015-06-25",4,0,1
"1279","Guinea","2015-06-26",3266,11,2037
"1280","Liberia","2015-06-26",3151,5636,NA
"1281","Sierra Leone","2015-06-26",8662,4144,3565
"1282","Italy","2015-06-26",1,0,NA
"1283","United Kingdom","2015-06-26",1,0,NA
"1284","Mali","2015-06-26",7,0,NA
"1285","Nigeria","2015-06-26",19,0,7
"1286","Senegal","2015-06-26",1,0,0
"1287","Spain","2015-06-26",1,0,0
"1288","United States of America","2015-06-26",4,0,1
"1289","Italy","2015-06-29",1,0,NA
"1290","Guinea","2015-06-29",3268,13,2039
"1291","Liberia","2015-06-29",3151,5636,NA
"1292","Sierra Leone","2015-06-29",8664,4164,3566
"1293","United Kingdom","2015-06-29",1,0,NA
"1294","Mali","2015-06-29",7,0,NA
"1295","Nigeria","2015-06-29",19,0,7
"1296","Senegal","2015-06-29",1,0,0
"1297","Spain","2015-06-29",1,0,0
"1298","United States of America","2015-06-29",4,0,1
"1299","Italy","2015-06-30",1,0,NA
"1300","Guinea","2015-06-30",3269,17,2039
"1301","Liberia","2015-06-30",3151,5636,NA
"1302","Sierra Leone","2015-06-30",8665,4167,3566
"1303","United Kingdom","2015-06-30",1,0,NA
"1304","Mali","2015-06-30",7,0,NA
"1305","Nigeria","2015-06-30",19,0,7
"1306","Senegal","2015-06-30",1,0,0
"1307","Spain","2015-06-30",1,0,0
"1308","United States of America","2015-06-30",4,0,1
"1309","Guinea","2015-07-01",3269,17,2039
"1310","Liberia","2015-07-01",3151,5636,NA
"1311","Sierra Leone","2015-07-01",8665,4167,3566
"1312","Italy","2015-07-01",1,0,NA
"1313","United Kingdom","2015-07-01",1,0,NA
"1314","Mali","2015-07-01",7,0,NA
"1315","Nigeria","2015-07-01",19,0,7
"1316","Senegal","2015-07-01",1,0,0
"1317","Spain","2015-07-01",1,0,0
"1318","United States of America","2015-07-01",4,0,1
"1319","Italy","2015-07-02",1,0,NA
"1320","Guinea","2015-07-02",3277,18,2040
"1321","Liberia","2015-07-02",3151,5636,NA
"1322","Sierra Leone","2015-07-02",8668,4174,3567
"1323","United Kingdom","2015-07-02",1,0,NA
"1324","Mali","2015-07-02",7,0,NA
"1325","Nigeria","2015-07-02",19,0,7
"1326","Senegal","2015-07-02",1,0,0
"1327","Spain","2015-07-02",1,0,0
"1328","United States of America","2015-07-02",4,0,1
"1329","Sierra Leone","2015-07-03",8671,4177,3569
"1330","Liberia","2015-07-03",3151,5636,NA
"1331","Guinea","2015-07-03",3279,21,2042
"1332","Liberia 2","2015-07-03",3,37,1
"1333","Italy","2015-07-03",1,0,NA
"1334","United Kingdom","2015-07-03",1,0,NA
"1335","Mali","2015-07-03",7,0,NA
"1336","Nigeria","2015-07-03",19,0,7
"1337","Senegal","2015-07-03",1,0,0
"1338","Spain","2015-07-03",1,0,0
"1339","United States of America","2015-07-03",4,0,1
"1340","Guinea","2015-07-06",3287,7,2048
"1341","Liberia","2015-07-06",3151,5636,NA
"1342","Sierra Leone","2015-07-06",8673,4190,3574
"1343","Liberia 2","2015-07-06",3,NA,1
"1344","Italy","2015-07-06",1,0,NA
"1345","United Kingdom","2015-07-06",1,0,NA
"1346","Mali","2015-07-06",7,0,NA
"1347","Nigeria","2015-07-06",19,0,7
"1348","Senegal","2015-07-06",1,0,0
"1349","Spain","2015-07-06",1,0,0
"1350","United States of America","2015-07-06",4,0,1
"1351","Guinea","2015-07-07",3287,11,2049
"1352","Sierra Leone","2015-07-07",8674,4194,3574
"1353","Liberia","2015-07-07",3151,5636,NA
"1354","Liberia 2","2015-07-07",3,NA,1
"1355","Italy","2015-07-07",1,0,NA
"1356","United Kingdom","2015-07-07",1,0,NA
"1357","Mali","2015-07-07",7,0,NA
"1358","Nigeria","2015-07-07",19,0,7
"1359","Senegal","2015-07-07",1,0,0
"1360","Spain","2015-07-07",1,0,0
"1361","United States of America","2015-07-07",4,0,1
"1362","Sierra Leone","2015-07-08",8674,4194,3574
"1363","Liberia","2015-07-08",3151,5636,NA
"1364","Guinea","2015-07-08",3287,11,2049
"1365","Liberia 2","2015-07-08",3,NA,1
"1366","Italy","2015-07-08",1,0,NA
"1367","United Kingdom","2015-07-08",1,0,NA
"1368","Mali","2015-07-08",7,0,NA
"1369","Nigeria","2015-07-08",19,0,7
"1370","Senegal","2015-07-08",1,0,0
"1371","Spain","2015-07-08",1,0,0
"1372","United States of America","2015-07-08",4,0,1
"1373","Guinea","2015-07-09",3290,4,2055
"1374","Liberia","2015-07-09",3151,5636,NA
"1375","Sierra Leone","2015-07-09",8675,4207,3575
"1376","Liberia 2","2015-07-09",5,NA,1
"1377","Italy","2015-07-09",1,0,NA
"1378","United Kingdom","2015-07-09",1,0,NA
"1379","Mali","2015-07-09",7,0,NA
"1380","Nigeria","2015-07-09",19,0,7
"1381","Senegal","2015-07-09",1,0,0
"1382","Spain","2015-07-09",1,0,0
"1383","United States of America","2015-07-09",4,0,1
"1384","Guinea","2015-07-10",3293,8,2055
"1385","Liberia","2015-07-10",3151,5636,NA
"1386","Sierra Leone","2015-07-10",8676,4214,3575
"1387","Liberia 2","2015-07-10",5,NA,1
"1388","Italy","2015-07-10",1,0,NA
"1389","United Kingdom","2015-07-10",1,0,NA
"1390","Mali","2015-07-10",7,0,NA
"1391","Nigeria","2015-07-10",19,0,7
"1392","Senegal","2015-07-10",1,0,0
"1393","Spain","2015-07-10",1,0,0
"1394","United States of America","2015-07-10",4,0,1
"1395","Guinea","2015-07-13",3299,5,2056
"1396","Liberia","2015-07-13",3151,5636,NA
"1397","Sierra Leone","2015-07-13",8687,4227,3580
"1398","Liberia 2","2015-07-13",5,NA,1
"1399","Italy","2015-07-13",1,0,NA
"1400","United Kingdom","2015-07-13",1,0,NA
"1401","Mali","2015-07-13",7,0,NA
"1402","Nigeria","2015-07-13",19,0,7
"1403","Senegal","2015-07-13",1,0,0
"1404","Spain","2015-07-13",1,0,0
"1405","United States of America","2015-07-13",4,0,1
"1406","Guinea","2015-07-14",3300,10,2056
"1407","Liberia","2015-07-14",3151,5636,NA
"1408","Sierra Leone","2015-07-14",8688,4234,3581
"1409","Liberia 2","2015-07-14",6,NA,2
"1410","Italy","2015-07-14",1,0,NA
"1411","United Kingdom","2015-07-14",1,0,NA
"1412","Mali","2015-07-14",7,0,NA
"1413","Nigeria","2015-07-14",19,0,7
"1414","Senegal","2015-07-14",1,0,0
"1415","Spain","2015-07-14",1,0,0
"1416","United States of America","2015-07-14",4,0,1
"1417","Sierra Leone","2015-07-15",8688,4234,3581
"1418","Guinea","2015-07-15",3300,10,2056
"1419","Liberia","2015-07-15",3151,5636,NA
"1420","Liberia 2","2015-07-15",6,NA,2
"1421","Italy","2015-07-15",1,0,NA
"1422","United Kingdom","2015-07-15",1,0,NA
"1423","Mali","2015-07-15",7,0,NA
"1424","Nigeria","2015-07-15",19,0,7
"1425","Senegal","2015-07-15",1,0,0
"1426","Spain","2015-07-15",1,0,0
"1427","United States of America","2015-07-15",4,0,1
"1428","Guinea","2015-07-16",3304,8,2056
"1429","Liberia","2015-07-16",3151,5636,NA
"1430","Sierra Leone","2015-07-16",8688,4234,3581
"1431","Liberia 2","2015-07-16",6,NA,2
"1432","Italy","2015-07-16",1,0,NA
"1433","United Kingdom","2015-07-16",1,0,NA
"1434","Mali","2015-07-16",7,0,NA
"1435","Nigeria","2015-07-16",19,0,7
"1436","Senegal","2015-07-16",1,0,0
"1437","Spain","2015-07-16",1,0,0
"1438","United States of America","2015-07-16",4,0,1
"1439","Guinea","2015-07-17",3310,10,2059
"1440","Liberia","2015-07-17",3151,5636,NA
"1441","Sierra Leone","2015-07-17",8688,4234,3581
"1442","Liberia 2","2015-07-17",6,NA,2
"1443","Italy","2015-07-17",1,0,NA
"1444","United Kingdom","2015-07-17",1,0,NA
"1445","Mali","2015-07-17",7,0,NA
"1446","Nigeria","2015-07-17",19,0,7
"1447","Senegal","2015-07-17",1,0,0
"1448","Spain","2015-07-17",1,0,0
"1449","United States of America","2015-07-17",4,0,1
"1450","Guinea","2015-07-20",3322,12,2061
"1451","Liberia","2015-07-20",3151,5636,NA
"1452","Sierra Leone","2015-07-20",8692,4262,3583
"1453","Liberia 2","2015-07-20",6,NA,2
"1454","Italy","2015-07-20",1,0,NA
"1455","United Kingdom","2015-07-20",1,0,NA
"1456","Mali","2015-07-20",7,0,NA
"1457","Nigeria","2015-07-20",19,0,7
"1458","Senegal","2015-07-20",1,0,0
"1459","Spain","2015-07-20",1,0,0
"1460","United States of America","2015-07-20",4,0,1
"1461","Guinea","2015-07-21",3322,11,2062
"1462","Liberia","2015-07-21",3151,5636,NA
"1463","Sierra Leone","2015-07-21",8692,4271,3583
"1464","Liberia 2","2015-07-21",6,NA,2
"1465","Italy","2015-07-21",1,0,NA
"1466","United Kingdom","2015-07-21",1,0,NA
"1467","Mali","2015-07-21",7,0,NA
"1468","Nigeria","2015-07-21",19,0,7
"1469","Senegal","2015-07-21",1,0,0
"1470","Spain","2015-07-21",1,0,0
"1471","United States of America","2015-07-21",4,0,1
"1472","Guinea","2015-07-22",3322,11,2062
"1473","Liberia","2015-07-22",3151,5636,NA
"1474","Sierra Leone","2015-07-22",8692,4271,3583
"1475","Liberia 2","2015-07-22",6,NA,2
"1476","Italy","2015-07-22",1,0,NA
"1477","United Kingdom","2015-07-22",1,0,NA
"1478","Mali","2015-07-22",7,0,NA
"1479","Nigeria","2015-07-22",19,0,7
"1480","Senegal","2015-07-22",1,0,0
"1481","Spain","2015-07-22",1,0,0
"1482","United States of America","2015-07-22",4,0,1
"1483","Guinea","2015-07-23",3325,13,2066
"1484","Liberia","2015-07-23",3151,5636,NA
"1485","Sierra Leone","2015-07-23",8693,4282,3583
"1486","Liberia 2","2015-07-23",6,NA,2
"1487","Italy","2015-07-23",1,0,NA
"1488","United Kingdom","2015-07-23",1,0,NA
"1489","Mali","2015-07-23",7,0,NA
"1490","Nigeria","2015-07-23",19,0,7
"1491","Senegal","2015-07-23",1,0,0
"1492","Spain","2015-07-23",1,0,0
"1493","United States of America","2015-07-23",4,0,1
"1494","Guinea","2015-07-24",3325,11,2066
"1495","Liberia","2015-07-24",3151,5636,NA
"1496","Sierra Leone","2015-07-24",8693,4284,3583
"1497","Liberia 2","2015-07-24",6,NA,2
"1498","Italy","2015-07-24",1,0,NA
"1499","United Kingdom","2015-07-24",1,0,NA
"1500","Mali","2015-07-24",7,0,NA
"1501","Nigeria","2015-07-24",19,0,7
"1502","Senegal","2015-07-24",1,0,0
"1503","Spain","2015-07-24",1,0,0
"1504","United States of America","2015-07-24",4,0,1
"1505","Guinea","2015-07-27",3325,16,2068
"1506","Liberia","2015-07-27",3151,5636,NA
"1507","Sierra Leone","2015-07-27",8694,4302,3585
"1508","Liberia 2","2015-07-27",6,NA,2
"1509","Italy","2015-07-27",1,0,NA
"1510","United Kingdom","2015-07-27",1,0,NA
"1511","Mali","2015-07-27",7,0,NA
"1512","Nigeria","2015-07-27",19,0,7
"1513","Senegal","2015-07-27",1,0,0
"1514","Spain","2015-07-27",1,0,0
"1515","United States of America","2015-07-27",4,0,1
"1516","Guinea","2015-07-28",3326,9,2069
"1517","Liberia","2015-07-28",3151,5636,NA
"1518","Sierra Leone","2015-07-28",8694,4309,3585
"1519","Liberia 2","2015-07-28",6,NA,2
"1520","Italy","2015-07-28",1,0,NA
"1521","United Kingdom","2015-07-28",1,0,NA
"1522","Mali","2015-07-28",7,0,NA
"1523","Nigeria","2015-07-28",19,0,7
"1524","Senegal","2015-07-28",1,0,0
"1525","Spain","2015-07-28",1,0,0
"1526","United States of America","2015-07-28",4,0,1
"1527","Sierra Leone","2015-07-29",8694,4309,3585
"1528","Guinea","2015-07-29",3326,9,2069
"1529","Liberia","2015-07-29",3151,5636,NA
"1530","Liberia 2","2015-07-29",6,NA,2
"1531","Italy","2015-07-29",1,0,NA
"1532","United Kingdom","2015-07-29",1,0,NA
"1533","Mali","2015-07-29",7,0,NA
"1534","Nigeria","2015-07-29",19,0,7
"1535","Senegal","2015-07-29",1,0,0
"1536","Spain","2015-07-29",1,0,0
"1537","United States of America","2015-07-29",4,0,1
"1538","Sierra Leone","2015-07-30",8694,4398,3585
"1539","Liberia","2015-07-30",3151,5636,NA
"1540","Guinea","2015-07-30",3326,7,2069
"1541","Liberia 2","2015-07-30",6,NA,2
"1542","Italy","2015-07-30",1,0,NA
"1543","United Kingdom","2015-07-30",1,0,NA
"1544","Mali","2015-07-30",7,0,NA
"1545","Nigeria","2015-07-30",19,0,7
"1546","Senegal","2015-07-30",1,0,0
"1547","Spain","2015-07-30",1,0,0
"1548","United States of America","2015-07-30",4,0,1
"1549","Guinea","2015-07-31",3326,3,2069
"1550","Sierra Leone","2015-07-31",8694,4406,3585
"1551","Liberia","2015-07-31",3151,5636,NA
"1552","Liberia 2","2015-07-31",6,NA,2
"1553","Italy","2015-07-31",1,0,NA
"1554","United Kingdom","2015-07-31",1,0,NA
"1555","Mali","2015-07-31",7,0,NA
"1556","Nigeria","2015-07-31",19,0,7
"1557","Senegal","2015-07-31",1,0,0
"1558","Spain","2015-07-31",1,0,0
"1559","United States of America","2015-07-31",4,0,1
"1560","Liberia","2015-08-03",3151,5636,NA
"1561","Sierra Leone","2015-08-03",8695,4420,3585
"1562","Guinea","2015-08-03",3327,7,2070
"1563","Liberia 2","2015-08-03",6,NA,2
"1564","Italy","2015-08-03",1,0,NA
"1565","United Kingdom","2015-08-03",1,0,NA
"1566","Mali","2015-08-03",7,0,NA
"1567","Nigeria","2015-08-03",19,0,7
"1568","Senegal","2015-08-03",1,0,0
"1569","Spain","2015-08-03",1,0,0
"1570","United States of America","2015-08-03",4,0,1
"1571","Liberia","2015-08-04",3151,5636,NA
"1572","Sierra Leone","2015-08-04",8695,4424,3585
"1573","Guinea","2015-08-04",3327,5,2070
"1574","Liberia 2","2015-08-04",6,NA,2
"1575","Italy","2015-08-04",1,0,NA
"1576","United Kingdom","2015-08-04",1,0,NA
"1577","Mali","2015-08-04",7,0,NA
"1578","Nigeria","2015-08-04",19,0,7
"1579","Senegal","2015-08-04",1,0,0
"1580","Spain","2015-08-04",1,0,0
"1581","United States of America","2015-08-04",4,0,1
"1582","Liberia","2015-08-05",3151,5636,NA
"1583","Sierra Leone","2015-08-05",8695,4424,3585
"1584","Guinea","2015-08-05",3327,5,2070
"1585","Liberia 2","2015-08-05",6,NA,2
"1586","Italy","2015-08-05",1,0,NA
"1587","United Kingdom","2015-08-05",1,0,NA
"1588","Mali","2015-08-05",7,0,NA
"1589","Nigeria","2015-08-05",19,0,7
"1590","Senegal","2015-08-05",1,0,0
"1591","Spain","2015-08-05",1,0,0
"1592","United States of America","2015-08-05",4,0,1
"1593","Sierra Leone","2015-08-06",8696,4443,3585
"1594","Guinea","2015-08-06",3329,11,2072
"1595","Liberia","2015-08-06",3151,5636,NA
"1596","Liberia 2","2015-08-06",6,NA,2
"1597","Italy","2015-08-06",1,0,NA
"1598","United Kingdom","2015-08-06",1,0,NA
"1599","Mali","2015-08-06",7,0,NA
"1600","Nigeria","2015-08-06",19,0,7
"1601","Senegal","2015-08-06",1,0,0
"1602","Spain","2015-08-06",1,0,0
"1603","United States of America","2015-08-06",4,0,1
"1604","Liberia","2015-08-07",3151,5636,NA
"1605","Sierra Leone","2015-08-07",8696,4445,3585
"1606","Guinea","2015-08-07",3329,14,2072
"1607","Liberia 2","2015-08-07",6,NA,2
"1608","Italy","2015-08-07",1,0,NA
"1609","United Kingdom","2015-08-07",1,0,NA
"1610","Mali","2015-08-07",7,0,NA
"1611","Nigeria","2015-08-07",19,0,7
"1612","Senegal","2015-08-07",1,0,0
"1613","Spain","2015-08-07",1,0,0
"1614","United States of America","2015-08-07",4,0,1
"1615","Liberia","2015-08-10",3151,5636,NA
"1616","Sierra Leone","2015-08-10",8697,4481,3585
"1617","Guinea","2015-08-10",3329,10,2072
"1618","Liberia 2","2015-08-10",6,NA,2
"1619","Italy","2015-08-10",1,0,NA
"1620","United Kingdom","2015-08-10",1,0,NA
"1621","Mali","2015-08-10",7,0,NA
"1622","Nigeria","2015-08-10",19,0,7
"1623","Senegal","2015-08-10",1,0,0
"1624","Spain","2015-08-10",1,0,0
"1625","United States of America","2015-08-10",4,0,1
"1626","Liberia","2015-08-11",3151,5636,NA
"1627","Sierra Leone","2015-08-11",8697,4486,3585
"1628","Guinea","2015-08-11",3329,6,2072
"1629","Liberia 2","2015-08-11",6,NA,2
"1630","Italy","2015-08-11",1,0,NA
"1631","United Kingdom","2015-08-11",1,0,NA
"1632","Mali","2015-08-11",7,0,NA
"1633","Nigeria","2015-08-11",19,0,7
"1634","Senegal","2015-08-11",1,0,0
"1635","Spain","2015-08-11",1,0,0
"1636","United States of America","2015-08-11",4,0,1
"1637","Guinea","2015-08-12",3329,6,2072
"1638","Liberia","2015-08-12",3151,5636,NA
"1639","Sierra Leone","2015-08-12",8697,4486,3585
"1640","Liberia 2","2015-08-12",6,NA,2
"1641","Italy","2015-08-12",1,0,NA
"1642","United Kingdom","2015-08-12",1,0,NA
"1643","Mali","2015-08-12",7,0,NA
"1644","Nigeria","2015-08-12",19,0,7
"1645","Senegal","2015-08-12",1,0,0
"1646","Spain","2015-08-12",1,0,0
"1647","United States of America","2015-08-12",4,0,1
"1648","Guinea","2015-08-13",3330,10,2072
"1649","Liberia","2015-08-13",3151,5636,NA
"1650","Sierra Leone","2015-08-13",8697,4500,3585
"1651","Liberia 2","2015-08-13",6,NA,2
"1652","Italy","2015-08-13",1,0,NA
"1653","United Kingdom","2015-08-13",1,0,NA
"1654","Mali","2015-08-13",7,0,NA
"1655","Nigeria","2015-08-13",19,0,7
"1656","Senegal","2015-08-13",1,0,0
"1657","Spain","2015-08-13",1,0,0
"1658","United States of America","2015-08-13",4,0,1
"1659","Liberia","2015-08-14",3151,5636,NA
"1660","Sierra Leone","2015-08-14",8697,4501,3586
"1661","Guinea","2015-08-14",3330,9,2072
"1662","Liberia 2","2015-08-14",6,NA,2
"1663","Italy","2015-08-14",1,0,NA
"1664","United Kingdom","2015-08-14",1,0,NA
"1665","Mali","2015-08-14",7,0,NA
"1666","Nigeria","2015-08-14",19,0,7
"1667","Senegal","2015-08-14",1,0,0
"1668","Spain","2015-08-14",1,0,0
"1669","United States of America","2015-08-14",4,0,1
"1670","Guinea","2015-08-17",3332,6,2072
"1671","Sierra Leone","2015-08-17",8697,4505,3586
"1672","Liberia","2015-08-17",3151,5636,NA
"1673","Liberia 2","2015-08-17",6,NA,2
"1674","Italy","2015-08-17",1,0,NA
"1675","United Kingdom","2015-08-17",1,0,NA
"1676","Mali","2015-08-17",7,0,NA
"1677","Nigeria","2015-08-17",19,0,7
"1678","Senegal","2015-08-17",1,0,0
"1679","Spain","2015-08-17",1,0,0
"1680","United States of America","2015-08-17",4,0,1
"1681","Guinea","2015-08-18",3332,2,2072
"1682","Liberia","2015-08-18",3151,5636,NA
"1683","Sierra Leone","2015-08-18",8697,4510,3586
"1684","Liberia 2","2015-08-18",6,NA,2
"1685","Italy","2015-08-18",1,0,NA
"1686","United Kingdom","2015-08-18",1,0,NA
"1687","Mali","2015-08-18",7,0,NA
"1688","Nigeria","2015-08-18",19,0,7
"1689","Senegal","2015-08-18",1,0,0
"1690","Spain","2015-08-18",1,0,0
"1691","United States of America","2015-08-18",4,0,1
"1692","Sierra Leone","2015-08-19",8697,4510,3586
"1693","Guinea","2015-08-19",3332,2,2072
"1694","Liberia","2015-08-19",3151,5636,NA
"1695","Liberia 2","2015-08-19",6,NA,2
"1696","Italy","2015-08-19",1,0,NA
"1697","United Kingdom","2015-08-19",1,0,NA
"1698","Mali","2015-08-19",7,0,NA
"1699","Nigeria","2015-08-19",19,0,7
"1700","Senegal","2015-08-19",1,0,0
"1701","Spain","2015-08-19",1,0,0
"1702","United States of America","2015-08-19",4,0,1
"1703","Liberia","2015-08-20",3151,5636,NA
"1704","Sierra Leone","2015-08-20",8697,4534,3586
"1705","Guinea","2015-08-20",3334,6,2074
"1706","Liberia 2","2015-08-20",6,NA,2
"1707","Italy","2015-08-20",1,0,NA
"1708","United Kingdom","2015-08-20",1,0,NA
"1709","Mali","2015-08-20",7,0,NA
"1710","Nigeria","2015-08-20",19,0,7
"1711","Senegal","2015-08-20",1,0,0
"1712","Spain","2015-08-20",1,0,0
"1713","United States of America","2015-08-20",4,0,1
"1714","Liberia","2015-08-21",3151,5636,NA
"1715","Sierra Leone","2015-08-21",8697,4549,3586
"1716","Guinea","2015-08-21",3334,9,2074
"1717","Liberia 2","2015-08-21",6,NA,2
"1718","Italy","2015-08-21",1,0,NA
"1719","United Kingdom","2015-08-21",1,0,NA
"1720","Mali","2015-08-21",7,0,NA
"1721","Nigeria","2015-08-21",19,0,7
"1722","Senegal","2015-08-21",1,0,0
"1723","Spain","2015-08-21",1,0,0
"1724","United States of America","2015-08-21",4,0,1
"1725","Guinea","2015-08-24",3334,4,2075
"1726","Liberia","2015-08-24",3151,5636,NA
"1727","Sierra Leone","2015-08-24",8697,4554,3586
"1728","Liberia 2","2015-08-24",6,NA,2
"1729","Italy","2015-08-24",1,0,NA
"1730","United Kingdom","2015-08-24",1,0,NA
"1731","Mali","2015-08-24",7,0,NA
"1732","Nigeria","2015-08-24",19,0,7
"1733","Senegal","2015-08-24",1,0,0
"1734","Spain","2015-08-24",1,0,0
"1735","United States of America","2015-08-24",4,0,1
"1736","Guinea","2015-08-25",3335,5,2075
"1737","Liberia","2015-08-25",3151,5636,NA
"1738","Sierra Leone","2015-08-25",8697,4557,3586
"1739","Liberia 2","2015-08-25",6,NA,2
"1740","Italy","2015-08-25",1,0,NA
"1741","United Kingdom","2015-08-25",1,0,NA
"1742","Mali","2015-08-25",7,0,NA
"1743","Nigeria","2015-08-25",19,0,7
"1744","Senegal","2015-08-25",1,0,0
"1745","Spain","2015-08-25",1,0,0
"1746","United States of America","2015-08-25",4,0,1
"1747","Liberia","2015-08-26",3151,5636,NA
"1748","Guinea","2015-08-26",3335,5,2075
"1749","Sierra Leone","2015-08-26",8697,4557,3586
"1750","Liberia 2","2015-08-26",6,NA,2
"1751","Italy","2015-08-26",1,0,NA
"1752","United Kingdom","2015-08-26",1,0,NA
"1753","Mali","2015-08-26",7,0,NA
"1754","Nigeria","2015-08-26",19,0,7
"1755","Senegal","2015-08-26",1,0,0
"1756","Spain","2015-08-26",1,0,0
"1757","United States of America","2015-08-26",4,0,1
"1758","Liberia","2015-08-27",3151,5636,NA
"1759","Sierra Leone","2015-08-27",8697,4598,3586
"1760","Guinea","2015-08-27",3336,9,2076
"1761","Liberia 2","2015-08-27",6,NA,2
"1762","Italy","2015-08-27",1,0,NA
"1763","United Kingdom","2015-08-27",1,0,NA
"1764","Mali","2015-08-27",7,0,NA
"1765","Nigeria","2015-08-27",19,0,7
"1766","Senegal","2015-08-27",1,0,0
"1767","Spain","2015-08-27",1,0,0
"1768","United States of America","2015-08-27",4,0,1
"1769","Liberia","2015-08-28",3151,5636,NA
"1770","Sierra Leone","2015-08-28",8697,4602,3586
"1771","Guinea","2015-08-28",3336,9,2076
"1772","Liberia 2","2015-08-28",6,NA,2
"1773","Italy","2015-08-28",1,0,NA
"1774","United Kingdom","2015-08-28",1,0,NA
"1775","Mali","2015-08-28",7,0,NA
"1776","Nigeria","2015-08-28",19,0,7
"1777","Senegal","2015-08-28",1,0,0
"1778","Spain","2015-08-28",1,0,0
"1779","United States of America","2015-08-28",4,0,1
"1780","Liberia","2015-08-31",3151,5636,NA
"1781","Sierra Leone","2015-08-31",8698,4618,3587
"1782","Guinea","2015-08-31",3337,1,2076
"1783","Liberia 2","2015-08-31",6,NA,2
"1784","Italy","2015-08-31",1,0,NA
"1785","United Kingdom","2015-08-31",1,0,NA
"1786","Mali","2015-08-31",7,0,NA
"1787","Nigeria","2015-08-31",19,0,7
"1788","Senegal","2015-08-31",1,0,0
"1789","Spain","2015-08-31",1,0,0
"1790","United States of America","2015-08-31",4,0,1
"1791","Guinea","2015-09-01",3337,3,2077
"1792","Liberia","2015-09-01",3151,5636,NA
"1793","Sierra Leone","2015-09-01",8698,4624,3587
"1794","Liberia 2","2015-09-01",6,NA,2
"1795","Italy","2015-09-01",1,0,NA
"1796","United Kingdom","2015-09-01",1,0,NA
"1797","Mali","2015-09-01",7,0,NA
"1798","Nigeria","2015-09-01",19,0,7
"1799","Senegal","2015-09-01",1,0,0
"1800","Spain","2015-09-01",1,0,0
"1801","United States of America","2015-09-01",4,0,1
"1802","Guinea","2015-09-02",3337,3,2077
"1803","Sierra Leone","2015-09-02",8698,4624,3587
"1804","Liberia","2015-09-02",3151,5636,NA
"1805","Liberia 2","2015-09-02",6,NA,2
"1806","Italy","2015-09-02",1,0,NA
"1807","United Kingdom","2015-09-02",1,0,NA
"1808","Mali","2015-09-02",7,0,NA
"1809","Nigeria","2015-09-02",19,0,7
"1810","Senegal","2015-09-02",1,0,0
"1811","Spain","2015-09-02",1,0,0
"1812","United States of America","2015-09-02",4,0,1
"1813","Guinea","2015-09-03",3338,2,2077
"1814","Liberia","2015-09-03",3151,5636,NA
"1815","Sierra Leone","2015-09-03",8698,4653,3587
"1816","Liberia 2","2015-09-03",6,NA,2
"1817","Italy","2015-09-03",1,0,NA
"1818","United Kingdom","2015-09-03",1,0,NA
"1819","Mali","2015-09-03",7,0,NA
"1820","Nigeria","2015-09-03",19,0,7
"1821","Senegal","2015-09-03",1,0,0
"1822","Spain","2015-09-03",1,0,0
"1823","United States of America","2015-09-03",4,0,1
